Temuan,Prioritas,Deskripsi,Lokasi File,Saran Perbaikan
Keamanan Secret Key,Tinggi,Kunci rahasia admin (Secret Key) tertanam langsung di file PHP. Ini berisiko jika permission file salah.,update_settings.php,"Gunakan Environment Variables (.env) atau database untuk menyimpan key. Pastikan permission file 644."
Validasi Tipe Data,Sedang,Penggunaan tipe `any` pada beberapa hooks (useGeolocation, useCamera) mengurangi keamanan tipe TypeScript.,hooks/useGeolocation.ts,"Refactor kode untuk menggunakan tipe data yang ketat dari library Capacitor."
Hardcoded URL,Sedang,URL server (armanjr.my.id) tertanam di dalam komponen UI. Sulit diubah jika domain berganti.,components/SettingsModal.tsx,"Pindahkan URL ke file `constants.ts` atau gunakan .env."
Stabilitas Memori,Sedang,Penggunaan Base64 string untuk menyimpan foto di state/local storage bisa membebani memori pada perangkat low-end.,hooks/useGallery.ts,"Pastikan `loadPhotos` membatasi jumlah foto yang dimuat ke memori atau gunakan pagination/lazy loading."
Izin Android Legacy,Rendah,Kemungkinan masih ada permintaan izin `WRITE_EXTERNAL_STORAGE` di AndroidManifest yang tidak diperlukan lagi di Android 10+ (Scoped Storage).,android/app/src/main/AndroidManifest.xml,"Hapus izin legacy jika target SDK >= 29 dan gunakan API MediaStore sepenuhnya."
Error Handling UI,Rendah,Pesan error saat upload/sync menggunakan `alert()` bawaan browser yang kurang estetik.,components/SettingsModal.tsx,"Gunakan komponen Toast atau Modal kustom untuk feedback error yang lebih baik."
Worker Type Safety,Rendah,Komunikasi dengan Web Worker menggunakan pesan `any` tanpa validasi struktur yang ketat.,utils/workerSource.ts,"Definisikan interface pesan worker untuk mencegah error runtime."
UI Overlay Clipping,Rendah,Teks overlay yang sangat panjang mungkin terpotong di layar sempit meskipun sudah ada `max-w-[90%]`,components/HUDOverlay.tsx,"Tambahkan logika auto-scaling font jika teks melebihi batas tertentu."
Depedensi useEffect,Rendah,Beberapa `useEffect` mungkin memiliki dependency array yang tidak lengkap (exhaustive-deps).,hooks/useCamera.ts,"Periksa warning linter dan lengkapi dependency array untuk mencegah bug re-render."
Performance Re-render,Rendah,Komponen `HUDOverlay` me-render ulang setiap detik karena update jam. Ini wajar tapi bisa dioptimalkan.,components/HUDOverlay.tsx,"Pastikan sub-komponen `memo`-ized jika overlay menjadi lebih kompleks."
